T_ms;PSgD(T_ms)
0;0
20.59;0.001
21.52;0.003
22.46;0.01
23.4;0.016
24.33;0.021
25.27;0.031
26.2;0.058
27.14;0.103
28.07;0.119
29.01;0.129
29.95;0.143
30.88;0.163
31.82;0.193
32.75;0.211
33.69;0.227
34.63;0.244
35.56;0.258
36.5;0.281
37.43;0.299
38.37;0.32
39.3;0.334
40.24;0.349
41.18;0.363
42.11;0.383
43.05;0.391
43.98;0.403
44.92;0.42
45.85;0.427
46.79;0.43
50.53;0.431
55.21;0.432
56.15;0.433
57.08;0.434
60.83;0.435
61.76;0.436
62.7;0.438
63.64;0.44
64.57;0.445
66.44;0.446
67.38;0.447
68.31;0.449
69.25;0.45
71.12;0.452
72.99;0.453
74.87;0.454
75.8;0.455
76.74;0.456
77.67;0.457
83.29;0.458
85.16;0.459
87.03;0.46
88.9;0.465
91.71;0.466
92.65;0.468
94.52;0.469
95.45;0.47
97.32;0.471
99.2;0.474
100.13;0.475
102;0.478
102.94;0.517
103.88;0.6
106.68;0.601
113.23;0.603
115.11;0.605
119.78;0.607
123.53;0.609
124.46;0.61
125.4;0.611
126.33;0.612
133.82;0.614
218.04;0.615
218.98;0.617
219.92;0.619
222.72;0.62
223.66;0.623
224.6;0.628
225.53;0.65
226.47;0.771
230.21;0.772
232.08;0.773
329.41;0.774
826.32;0.775
838.49;0.776
839.43;0.778
840.36;0.78
841.3;0.792
849.72;0.793
891.83;0.794
904.93;0.795
905.87;0.796
948.92;0.797
1038.75;0.798
1040.63;0.799
1044.37;0.8
1060.28;0.801
1093.03;0.802
1106.13;0.803
1110.81;0.804
1122.98;0.944
1136.08;0.945
1139.82;0.946
1179.13;0.947
1191.29;0.948
1193.16;0.95
1202.52;0.951
1210.01;0.952
1210.94;0.953
1211.88;0.954
1262.41;0.955
1265.22;0.956
1277.39;0.957
1284.87;0.958
1296.1;0.959
1301.72;0.96
1312.01;0.961
1315.75;0.962
1336.34;0.963
1344.77;0.965
1355.99;0.966
1357.87;0.967
1369.1;0.968
1389.68;0.969
1402.79;0.97
1414.02;0.971
1426.18;0.972
1465.49;0.973
1509.47;0.974
1516.02;0.975
1519.76;0.976
1543.16;0.977
1556.26;0.978
1567.49;0.979
1619.89;0.98
1626.45;0.981
1653.58;0.982
1787.41;0.983
1791.15;0.984
1798.64;0.985
1808.93;0.986
1814.54;0.987
1819.22;0.988
1846.36;0.989
1857.59;0.99
1875.37;0.991
1901.57;0.992
1913.74;0.993
1922.16;0.994
1941.81;0.995
1942.75;0.996
1975.5;0.997
1979.25;0.998
2005.45;0.999
86400000;1
